dates,s1,s2,s3,s4,s5,s6
1981-09-01,1.6862698793411255,-0.7941023707389832,1.148351788520813,1.1581144332885742,2.024442672729492,1.0381073951721191
1981-09-02,1.7498935461044312,-0.7423210144042969,1.0163143873214722,1.2817612886428833,2.1490325927734375,0.6015569567680359
1981-09-03,1.4752076864242554,-0.74915611743927,0.9365331530570984,1.3864291906356812,2.176158905029297,3.64652681350708
1981-09-04,1.6221897602081299,-0.7245818376541138,0.9389763474464417,1.5021158456802368,2.34586238861084,3.182967185974121
1981-09-05,1.7508658170700073,-0.8585713505744934,0.9936445355415344,1.8087815046310425,2.3881115913391113,3.040865898132324
1981-09-06,1.5312467813491821,-0.931186318397522,1.0005606412887573,2.076474189758301,2.322882652282715,3.0102622509002686
1981-09-07,1.183269739151001,-0.9423678517341614,0.949712872505188,2.365159034729004,0.5501870512962341,3.4311530590057373
1981-09-08,0.9370032548904419,-2.3221724033355713,0.7110936045646667,2.714841604232788,0.5100131630897522,2.6634926795959473
1981-09-09,0.562371015548706,-2.1905367374420166,0.694703221321106,2.715515375137329,0.9823449850082397,2.3573355674743652
1981-09-10,0.49943214654922485,-2.0475564002990723,0.6705571413040161,2.2171835899353027,1.4171485900878906,2.1926732063293457
1981-09-11,0.5281192064285278,-2.6431431770324707,0.9085786938667297,1.9298646450042725,1.6244055032730103,2.059457540512085
1981-09-12,0.5984999537467957,-3.287360191345215,0.948862612247467,1.873513102531433,1.8240997791290283,2.437727928161621
1981-09-13,0.760495126247406,-2.8601863384246826,0.9213162064552307,1.908171534538269,1.6262602806091309,2.487485885620117
1981-09-14,0.8841542601585388,-1.9616329669952393,0.7959951162338257,1.7637853622436523,1.150802493095398,1.268695592880249
1981-09-15,1.069446086883545,-1.3517152070999146,0.7928627133369446,1.8103758096694946,1.167757511138916,1.2313960790634155
1981-09-16,0.9463678598403931,-0.4604317545890808,0.7719268202781677,1.7479194402694702,1.30704927444458,1.2755472660064697
1981-09-17,0.8148994445800781,0.16222336888313293,1.183160662651062,1.7264660596847534,1.4687427282333374,1.1711643934249878
1981-09-18,0.5850360989570618,-0.25377610325813293,1.2365463972091675,1.615944266319275,1.4727323055267334,1.2182306051254272
1981-09-19,-1.053198218345642,-0.5284140706062317,1.1821045875549316,1.6863678693771362,1.4190328121185303,1.886742115020752
1981-09-20,-0.899861752986908,-0.5717322826385498,1.149799108505249,0.8777636289596558,0.5176129937171936,1.836696982383728
1981-09-21,-0.6849448084831238,-0.31373125314712524,0.9996346235275269,0.7700814008712769,0.47847163677215576,1.808110237121582
1981-09-22,-0.4084577262401581,-0.29436683654785156,0.8416152000427246,0.8233364820480347,0.5315651893615723,1.0909534692764282
1981-09-23,-0.21039548516273499,-0.23370996117591858,0.8156821131706238,0.42750614881515503,0.5468641519546509,0.46518808603286743
1981-09-24,-0.500773012638092,-2.5217537879943848,0.901863694190979,0.2926357090473175,-0.10563108325004578,0.42088884115219116
1981-09-25,-0.709625244140625,-2.788482427597046,0.4001035690307617,0.28865179419517517,-0.4359867572784424,0.437967449426651
1981-09-26,-0.7969558835029602,-2.743957757949829,-0.8395759463310242,0.195545494556427,-0.46418794989585876,0.8064550161361694
1981-09-27,-0.7627774477005005,-2.498114824295044,-0.9071860909461975,0.5533784031867981,-0.3702850341796875,0.986334502696991
1981-09-28,-0.9570786952972412,-2.251037120819092,-0.8827594518661499,-0.2779334485530853,-0.3242887556552887,-1.5824004411697388
1981-09-29,-1.7299097776412964,-1.6526991128921509,-0.9362950921058655,-0.1883520931005478,-0.5262702703475952,-1.6697481870651245
1981-09-30,-1.8812724351882935,-1.583117127418518,-0.9878537058830261,0.012116074562072754,-0.7962048649787903,-1.595725655555725
1981-10-01,-1.9311397075653076,-1.4722955226898193,-1.1673964262008667,0.12341933697462082,-0.8041357398033142,-0.28035643696784973
1981-10-02,-1.9896031618118286,-2.010279417037964,-1.1249656677246094,0.745615541934967,-0.22013698518276215,-1.1436338424682617
1981-10-03,-2.166602611541748,-2.9770188331604004,-1.0506126880645752,0.6586024165153503,-0.05415766313672066,-0.26558583974838257
1981-10-04,-2.122218132019043,-3.7525925636291504,-0.6743067502975464,0.6224713921546936,-0.6863256096839905,0.4637921154499054
1981-10-05,-2.306417226791382,-4.226967811584473,-0.6460612416267395,0.5871332287788391,-1.2565958499908447,1.1744626760482788
1981-10-06,-2.4392483234405518,-3.8602097034454346,-0.745956301689148,-0.6873821020126343,-1.1350265741348267,1.69646155834198
1981-10-07,-2.350714683532715,-3.4822583198547363,-0.973951518535614,-0.6810961961746216,-1.0016740560531616,1.7097383737564087
1981-10-08,-2.2308361530303955,-3.663196086883545,-0.9101160168647766,-0.7040172219276428,-1.1365400552749634,1.6642924547195435
1981-10-09,-2.6896462440490723,-3.6329874992370605,-0.784451961517334,-0.6861794590950012,-1.219681978225708,1.5901094675064087
1981-10-10,-2.667104721069336,-3.5417022705078125,-0.516964852809906,-0.6275330781936646,-1.2811026573181152,0.7271660566329956
1981-10-11,-2.6032934188842773,-3.0992860794067383,-0.43769463896751404,-0.5481700301170349,-2.5308592319488525,-0.264548122882843
1981-10-12,-2.5782179832458496,-2.7758166790008545,-0.596652626991272,-0.48801901936531067,-2.468987226486206,-0.8350290060043335
1981-10-13,-2.401895046234131,-1.4212549924850464,-0.16387629508972168,-0.5071505308151245,-2.3355133533477783,-1.5143206119537354
1981-10-14,-2.3043248653411865,-0.5856660604476929,-0.25938522815704346,-0.5955669283866882,-2.3004870414733887,-1.3924037218093872
1981-10-15,-2.155522584915161,-0.42903944849967957,-0.25323015451431274,-0.663284182548523,-2.583946943283081,-0.4593144953250885
1981-10-16,-2.3355438709259033,-0.49143102765083313,-0.11537672579288483,-0.7402830719947815,-2.4759392738342285,-0.3650625944137573
1981-10-17,-2.314380168914795,-0.7427980303764343,0.23407451808452606,-0.1565934717655182,-2.346466064453125,-0.31968602538108826
1981-10-18,-2.262096881866455,-1.0231847763061523,-0.8048480153083801,-0.002255122410133481,-2.455575704574585,-0.3331804871559143
1981-10-19,-2.2186625003814697,-0.9826027154922485,-1.0221797227859497,0.08276519179344177,-2.343315601348877,-0.30555659532546997
1981-10-20,-2.224107503890991,-0.4110783338546753,-0.507944643497467,0.08841384947299957,-2.4797565937042236,-0.3268277645111084
